"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2024","0.121241","0.119745","0.121812","0.119745","292.61M","1.25%"
"04/27/2024","0.119745","0.120138","0.120660","0.118587","393.94M","-0.29%"
"04/26/2024","0.120100","0.117233","0.120573","0.116529","487.11M","2.42%"
"04/25/2024","0.117267","0.113273","0.117405","0.113163","506.87M","3.53%"
"04/24/2024","0.113273","0.113235","0.114092","0.112493","437.36M","0.03%"
"04/23/2024","0.113234","0.112218","0.113651","0.111284","358.46M","0.90%"
"04/22/2024","0.112220","0.111327","0.112441","0.110420","385.67M","0.80%"
"04/21/2024","0.111327","0.111051","0.111474","0.110255","263.80M","0.25%"
"04/20/2024","0.111048","0.109892","0.111133","0.109222","425.62M","1.06%"
"04/19/2024","0.109883","0.109270","0.110564","0.105039","775.47M","0.56%"
"04/18/2024","0.109267","0.109730","0.110145","0.107497","573.18M","-0.42%"
"04/17/2024","0.109730","0.111800","0.113001","0.109034","596.25M","-1.85%"
"04/16/2024","0.111800","0.111447","0.112061","0.108985","784.73M","0.32%"
"04/15/2024","0.111447","0.112435","0.115312","0.110094","937.97M","-0.88%"
"04/14/2024","0.112436","0.110041","0.112608","0.108892","790.06M","2.18%"
"04/13/2024","0.110042","0.114804","0.115309","0.107771","984.20M","-4.15%"
"04/12/2024","0.114804","0.120322","0.122313","0.113439","898.35M","-4.59%"
"04/11/2024","0.120322","0.119109","0.120447","0.118931","380.92M","1.02%"
"04/10/2024","0.119108","0.121083","0.123901","0.117954","629.36M","-1.64%"
"04/09/2024","0.121088","0.123027","0.123065","0.120366","414.57M","-1.58%"
"04/08/2024","0.123027","0.120558","0.123492","0.120526","392.66M","2.05%"
"04/07/2024","0.120555","0.119594","0.120949","0.119593","220.73M","0.80%"
"04/06/2024","0.119593","0.117904","0.119901","0.117739","246.87M","1.43%"
"04/05/2024","0.117904","0.119155","0.119396","0.117797","410.47M","-1.05%"
"04/04/2024","0.119154","0.117125","0.119453","0.116899","425.31M","1.73%"
"04/03/2024","0.117124","0.116619","0.118438","0.115741","517.58M","0.44%"
"04/02/2024","0.116616","0.120500","0.120523","0.115911","600.88M","-3.22%"
"04/01/2024","0.120499","0.122959","0.123190","0.119938","468.94M","-2.00%"
"03/31/2024","0.122961","0.122570","0.123271","0.122095","253.73M","0.32%"
"03/30/2024","0.122568","0.119897","0.122899","0.119897","337.83M","2.23%"
"03/29/2024","0.119897","0.120438","0.121129","0.119537","385.42M","-0.45%"
"03/28/2024","0.120437","0.119313","0.120623","0.119071","341.02M","0.93%"
"03/27/2024","0.119328","0.120786","0.121472","0.119002","489.26M","-1.21%"
"03/26/2024","0.120784","0.120425","0.122375","0.120342","500.05M","0.30%"
"03/25/2024","0.120428","0.120159","0.121020","0.117131","545.87M","0.23%"
"03/24/2024","0.120154","0.118244","0.120508","0.116531","366.97M","1.62%"
"03/23/2024","0.118242","0.117330","0.119728","0.116120","401.38M","0.78%"
"03/22/2024","0.117330","0.121153","0.121511","0.114963","524.16M","-3.16%"
"03/21/2024","0.121152","0.120723","0.121901","0.120412","574.99M","0.36%"
"03/20/2024","0.120720","0.112476","0.121152","0.110447","826.65M","7.33%"
"03/19/2024","0.112475","0.124068","0.124345","0.110476","1.03B","-9.34%"
"03/18/2024","0.124066","0.126243","0.126703","0.123035","467.84M","-1.72%"
"03/17/2024","0.126242","0.125259","0.126508","0.124303","422.98M","0.79%"
"03/16/2024","0.125258","0.126336","0.127346","0.124848","474.09M","-0.85%"
"03/15/2024","0.126334","0.129130","0.129364","0.125352","843.73M","-2.17%"
"03/14/2024","0.129129","0.131938","0.132008","0.127826","681.60M","-2.13%"
"03/13/2024","0.131942","0.131457","0.132297","0.131185","506.26M","0.37%"
"03/12/2024","0.131457","0.133717","0.134059","0.130663","596.92M","-1.69%"
"03/11/2024","0.133717","0.133741","0.134269","0.131937","645.54M","-0.02%"
"03/10/2024","0.133748","0.135792","0.136078","0.133492","426.18M","-1.50%"
"03/09/2024","0.135783","0.136625","0.137073","0.135572","475.35M","-0.62%"
"03/08/2024","0.136628","0.137122","0.137641","0.136075","516.52M","-0.37%"
"03/07/2024","0.137128","0.137738","0.138003","0.136542","541.08M","-0.44%"
"03/06/2024","0.137734","0.135859","0.138269","0.135475","823.66M","1.38%"
"03/05/2024","0.135860","0.140228","0.140323","0.135353","1.06B","-3.08%"
"03/04/2024","0.140172","0.140624","0.141212","0.139606","709.04M","-0.32%"
"03/03/2024","0.140624","0.141172","0.141290","0.139863","458.24M","-0.39%"
"03/02/2024","0.141172","0.141491","0.141729","0.140149","441.54M","-0.23%"
"03/01/2024","0.141491","0.140494","0.141524","0.140386","464.79M","0.71%"
"02/29/2024","0.140494","0.142131","0.143707","0.140318","639.11M","-1.16%"
"02/28/2024","0.142136","0.142866","0.144025","0.139618","741.19M","-0.50%"
"02/27/2024","0.142853","0.139857","0.143658","0.139703","637.37M","2.14%"
"02/26/2024","0.139857","0.137622","0.139960","0.137400","427.19M","1.62%"
"02/25/2024","0.137622","0.137440","0.138022","0.137230","261.60M","0.13%"
"02/24/2024","0.137441","0.138160","0.138308","0.137010","302.86M","-0.52%"
